,Sequence id,Sequence,Label,LLM Generated Label
0,1,"['action(govco, phishing, james, email, sent fraudulent tax claim link)', 'action(james, clicked, govco, email, opened phishing link)', 'action(govco, gained_access, acc_james, link, obtained login credentials)', 'action(govco, transferred_funds, acc_james, bank, initiated fast payment to acc_govco)', 'transaction(acc_james, fast payment, acc_govco, 16000.0)']",fraud,legit
1,16,"['action(fishmaster, phishing, bill, email, sent a fake bank notification)', 'action(bill, clicked, fishmaster, email, opened the fraudulent link)', 'action(fishmaster, sent, acc_bill, sms, requested verification code)', 'action(bill, entered, fishmaster, sms, provided verification code)', 'action(fishmaster, logged, acc_bill, online, accessed the account successfully)', 'transaction(acc_bill, fast payment, acc_fishmaster, 12000.0)']",fraud,legit
2,28,"['action(insurancenet, phishing, olivia, email, sent fake login link)', 'action(olivia, click, insurancenet, email, clicked on the link)', 'action(insurancenet, gain_access, olivia, phishing_site, obtained login credentials)', ""action(insurancenet, change_password, acc_olivia, online_banking, changed olivia's password)"", 'transaction(acc_olivia, fast payment, acc_insurancenet, 6800.0)']",fraud,legit
3,31,"['action(govco, phishing, james, email, posed as bank representative requesting account details)', 'action(james, sharing, acc_james, email, sent account credentials to govco)', 'action(govco, logging, acc_james, online, gained access to acc_james)', 'transaction(acc_james, fast payment, acc_govco, 16000.0)']",fraud,legit
4,34,"[""action(insuranceco, phishing, grace, email, sent fake email from 'irs tax office'),"", 'action(grace, clicked, insuranceco, email, opened and clicked the link in the phishing email),', ""action(insuranceco, gainedaccess, acc_grace, sms, sent a verification code to grace's phone),"", 'action(grace, enteredcode, insuranceco, sms, entered the verification code received),', ""action(insuranceco, accessedaccount, acc_grace, email, gained access to grace's account),"", 'transaction(acc_grace, fast payment, acc_insuranceco, 320000.0)']",fraud,legit
5,41,"['action(govco, posed_as, nina, email, claimed to be a bank representative)', 'action(nina, replied, govco, email, provided account details acc_nina for verification)', ""action(govco, sent, acc_nina, sms, requested password reset for 'security reasons')"", 'action(nina, complied, govco, sms, reset password for acc_nina as requested)', ""action(govco, logged_in, acc_nina, email, successfully accessed nina's account)"", 'transaction(acc_nina, fast payment, acc_govco, 9600.0)']",fraud,legit
6,42,"['action(fishmaster, phishing, sally, email, sent fraudulent bank login link)', 'action(sally, clicked, fishmaster, email, opened malicious link)', 'action(sally, entered_credentials, fishmaster, unknown, provided account credentials)', 'action(fishmaster, accessed_account, acc_sally, unknown, fraudster gained access to account)', 'transaction(acc_sally, fast payment, acc_fishmaster, 4800.0)']",fraud,
7,43,"['action(fishmaster, phishing, bill, email, sent fraudulent tax notification)', 'action(bill, clicked, fishmaster, email, opened phishing link)', 'action(fishmaster, requested, bill, email, asked for account details)', 'action(bill, provided, fishmaster, email, sent account information)', 'action(fishmaster, accessed, acc_bill, email, gained access to account)', 'transaction(acc_bill, fast payment, acc_fishmaster, 12000.0)']",fraud,legit
8,47,"['action(insuranceco, phishing, grace, email, sent a fraudulent email claiming to be from insurance company)', 'action(grace, clicked, insuranceco, email, opened and clicked on the provided link)', ""action(insuranceco, malware, grace, email, installed malicious software onto grace's device)"", ""action(insuranceco, keylogging, acc_grace, device, logged grace's online banking password)"", 'action(insuranceco, transfer initiation, acc_grace, online banking, initiated a transfer to acc_insuranceco)', 'transaction(acc_grace, fast payment, acc_insuranceco, 320000.0)']",fraud,
9,63,"['action(insurancenet, posed as, sally, email, claimed to be bank representative)', 'action(sally, replied, insurancenet, email, provided account details for acc_sally verification)', 'action(insurancenet, gained, acc_sally, email, after successfully verifying identity)', 'transaction(acc_sally, fast payment, acc_insurancenet, 4800.0)']",fraud,legit
10,64,"['action(fishmaster, posed as, sally, sms, claimed acc_sally was frozen due to suspicious activity)', 'action(sally, replied, fishmaster, phone, provided acc_sally verification code for confirmation)', 'action(fishmaster, accessed, acc_sally, email, used provided credentials to log into acc_sally)', 'transaction(acc_sally, fast payment, acc_fishmaster, 4800.0)']",fraud,legit
11,66,"['action(grace, shares, acc_grace, email, shares her account details for an online loan application)', 'action(insurancenet, impersonates, grace, email, claims to be a loan officer from a reputable bank)', 'action(grace, provides, insurancenet, email, sends her updated personal and account information)', ""action(insurancenet, gains, acc_grace, fast, gains access to grace's account through the loan application process)"", 'transaction(acc_grace, fast payment, acc_insurancenet, 320000.0)']",fraud,
12,73,"[""action(insurancenet, posed, nina, email, claimed to be a representative from nina's insurance company)"", 'action(nina, replied, insurancenet, email, provided policy number and account details for verification)', 'action(insurancenet, accessed, acc_nina, email, used provided details to gain access to acc_nina)', 'transaction(acc_nina, fast payment, acc_insurancenet, 9600.0)']",fraud,legit
13,76,"['action(govco, posed as, sally, email, claimed to be a representative from the bank)', 'action(sally, replied, govco, email, provided login credentials after receiving email)', ""action(govco, gained access, acc_sally, email, successfully logged into sally's account)"", ""action(govco, transferred funds, acc_sally, bank transfer, moved 4800.0 from sally's account to govco's account)"", 'transaction(acc_sally, fast payment, acc_govco, 4800.0)']",fraud,legit
14,78,"['action(grace, sends_documents, insuranceco, email, shares her latest car accident claim documents)', 'action(insuranceco, poses_as_support, grace, phone, claims to be a support agent from the company)', ""action(insuranceco, requests_more_info, grace, phone, asks for updated bank account details due to 'system issues')"", 'action(grace, updates_details, insuranceco, email, sends her updated bank account details via email)', ""action(insuranceco, verifies_account, acc_grace, online, logs into grace's account using provided credentials)"", 'transaction(acc_grace, fast payment, acc_insuranceco, 320000.0)']",fraud,legit
15,81,"[""action(insuranceco, posed as, olivia, email, claimed to be olivia's insurance representative)"", 'action(olivia, replied, insuranceco, email, shared policy details including account number acc_olivia)', 'action(insuranceco, requested, acc_olivia, email, alleged claim verification via email transfer)', 'action(olivia, provided, insuranceco, email, believed it was the insurance company verifying her policy)', 'transaction(acc_olivia, fast payment, acc_insuranceco, 6800.0)']",fraud,legit
16,86,"['action(fishmaster, phishing, olivia, email, sent a fraudulent bank notification)', 'action(olivia, click, fishmaster, email, clicked on the malicious link provided)', ""action(fishmaster, account_takeover, acc_olivia, link, gained access to olivia's account details)"", 'action(fishmaster, transfer_initiate, acc_olivia, online_banking, initiated a fast payment transaction of 6800.0 to acc_fishmaster)', 'transaction(acc_olivia, fast payment, acc_fishmaster, 6800.0)']",fraud,legit
17,89,"['action(insuranceco, poses_as, nina, email, claiming account issues)', 'action(nina, responds, insuranceco, email, provides account details for verification)', ""action(insuranceco, gains_access, acc_nina, sms, successfully accessed nina's account using provided details)"", 'transaction(acc_nina, fast payment, acc_insuranceco, 9600.0)']",fraud,legit
18,94,"['action(insuranceco, phishing, nina, email, sent fraudulent tax bill email)', 'action(nina, clicked, insuranceco, email, opened phishing email and clicked link)', 'action(nina, entered, acc_nina, email, entered account credentials)', ""action(insuranceco, gainedaccess, acc_nina, email, successfully gained access to nina's account)"", 'transaction(acc_nina, fast payment, acc_insuranceco, 9600.0)']",fraud,legit
